model,stable,transition,ΔH,lang_ppl,lang_rep
DynamicTemp,0.5087,1.051,0.5422999999999999,3.1064570386506025,0.16984601626867674
FixedRouting,0.4133,0.657,0.24370000000000003,1.5303629305765853,0.1606811546870866
Nomadic_Full,0.2869,0.451,0.16410000000000002,1.611020217668535,0.18545342028887685
Nomadic_NoDx,0.113,0.2155,0.1025,1.2664326682925995,0.22545368591077386
StaticLoRA,0.4682,1.5634,1.0952,3.122710497462295,0.13333194463024875
Vanilla,1.1162,2.0183,0.9020999999999999,5.257072342638761,0.08921717971606224
