model,latency_ms,tokens_per_sec,est_flops,avg_tokens
Nomadic_Full,303.7027941530939,3.2926927877677374,2421299407968.0,49.0
MoD,292.5538647244937,3.4181739519044463,2421299407968.0,49.0
ECR,359.41280666327435,2.782315992652135,2421299407968.0,49.0
Sigma_MoE,1206.166288295913,0.8290730802930106,2421299407968.0,49.0
BiLevel_MoE,379.65940322450183,2.633939766677982,2421299407968.0,49.0
RoutingFree_MoE,470.2330228775114,2.126605217637139,2421299407968.0,49.0
