model,density,mean_nll,mean_dx,mean_nll_gain,corr_dx_nll
Nomadic_Full,dense,14.701237416107382,0.24945530401005242,-0.10905393835616438,0.2705960186878421
Nomadic_Full,sparse,12.126162190082646,0.24301138280098103,-0.028866525423728813,0.1528564027452669
MoD,dense,14.701237416107382,0.24945530401005242,-0.10905393835616438,0.2705960186878421
MoD,sparse,12.126162190082646,0.24301138280098103,-0.028866525423728813,0.1528564027452669
ECR,dense,14.701237416107382,0.24945530401005242,-0.10905393835616438,0.2705960186878421
ECR,sparse,12.126162190082646,0.24301138280098103,-0.028866525423728813,0.1528564027452669
Sigma_MoE,dense,14.701237416107382,0.24945530401005242,-0.10905393835616438,0.2705960186878421
Sigma_MoE,sparse,12.126162190082646,0.24301138280098103,-0.028866525423728813,0.1528564027452669
BiLevel_MoE,dense,14.701237416107382,0.24945530401005242,-0.10905393835616438,0.2705960186878421
BiLevel_MoE,sparse,12.126162190082646,0.24301138280098103,-0.028866525423728813,0.1528564027452669
RoutingFree_MoE,dense,14.701237416107382,0.24945530401005242,-0.10905393835616438,0.2705960186878421
RoutingFree_MoE,sparse,12.126162190082646,0.24301138280098103,-0.028866525423728813,0.1528564027452669
