model,stable,transition,ΔH,lang_ppl,lang_rep
DynamicTemp,0.5063,1.1651,0.6588,3.9432105369990866,0.1086640784799358
FixedRouting,0.5639,0.3919,-0.17199999999999993,1.311684707973805,0.3102587386662134
Nomadic_Full,0.3475,0.4342,0.0867,1.732985562142265,0.1995701441545105
Nomadic_NoDx,0.1225,0.2274,0.1049,1.2410015915305483,0.17934348114077892
StaticLoRA,0.4108,1.4754,1.0646,3.468162462888871,0.10504315451921938
Vanilla,1.0341,2.1385,1.1044,6.301765669408988,0.057382999782474534
