model,condition,entropy,perplexity,load_cv,settling_time
Vanilla,clean,0.2854750337184669,1.194089117536685,0.0,0.0
Vanilla,noisy,0.47521919244609306,1.3997855007782718,0.0,0.0
Nomadic_Blind,clean,0.1562551904043645,1.0656877659460988,0.0,40.0
Nomadic_Blind,noisy,0.0914345004967478,1.0374611291418059,0.0,40.0
Nomadic_Full,clean,0.22488745494856327,1.191381236059961,0.29154759471311026,1.8571428571428572
Nomadic_Full,noisy,0.28542238420443367,1.3571669460938305,0.6519202404550729,2.0526315789473686
MoD,clean,0.43759771251295226,2.108821883745026,0.5689903337943778,1.95
MoD,noisy,0.1419881772464979,1.0681642412442298,0.24748737339673005,1.3928571428571428
ECR,clean,0.3066918141019414,1.276952468087548,1.0839741693255427,2.1666666666666665
ECR,noisy,0.46807288837153466,1.7847217101573496,0.8336665999432866,1.7727272727272727
Sigma_MoE,clean,0.08802991239684246,1.113730613878716,0.5556527692306477,1.5714285714285714
Sigma_MoE,noisy,0.06325504945718863,1.0309607458599557,0.6919176250338168,1.1470588235294117
BiLevel_MoE,clean,0.12964190799357972,1.1527844219945684,0.7356969484229307,2.6
BiLevel_MoE,noisy,0.05402184652654816,1.0283454891291828,0.6964194138069744,2.2941176470588234
RoutingFree_MoE,clean,0.43817993052434756,1.445034642187191,0.916515138807865,1.054054054054054
RoutingFree_MoE,noisy,0.4644249807635788,1.1604603771617779,0.716763559216139,1.0
Nomadic_NoDx,clean,0.1562551904043645,1.0656877659460988,0.0,40.0
Nomadic_NoDx,noisy,0.14625517242198072,1.24421512737273,0.0,40.0
Nomadic_NoEnv,clean,0.14461857101351577,1.0696123752685234,0.0,40.0
Nomadic_NoEnv,noisy,0.33051536712413776,1.6940660472402116,0.0,40.0
Nomadic_NoErr,clean,0.24343005575932536,1.1805403888713746,0.548862459961339,2.6
Nomadic_NoErr,noisy,0.24309909831401272,1.127750445514532,0.4358898943104784,2.2941176470588234
