model,density,mean_nll,mean_dx,mean_nll_gain,corr_dx_nll
Vanilla,dense,12.89773426439938,0.41765345418013183,-0.11309447027232548,0.45694629491054223
Vanilla,sparse,8.729335406595025,0.29756753078915854,-0.061783006635762874,0.44618066474362444
Nomadic_Blind,dense,12.89773426439938,0.41765345418013183,-0.11309447027232548,0.45694629491054223
Nomadic_Blind,sparse,8.729335406595025,0.29756753078915854,-0.061783006635762874,0.44618066474362444
Nomadic_Full,dense,12.89773426439938,0.41765345418013183,-0.11309447027232548,0.45694629491054223
Nomadic_Full,sparse,8.729335406595025,0.29756753078915854,-0.061783006635762874,0.44618066474362444
MoD,dense,12.89773426439938,0.41765345418013183,-0.11309447027232548,0.45694629491054223
MoD,sparse,8.729335406595025,0.29756753078915854,-0.061783006635762874,0.44618066474362444
ECR,dense,12.89773426439938,0.41765345418013183,-0.11309447027232548,0.45694629491054223
ECR,sparse,8.729335406595025,0.29756753078915854,-0.061783006635762874,0.44618066474362444
Sigma_MoE,dense,12.89773426439938,0.41765345418013183,-0.11309447027232548,0.45694629491054223
Sigma_MoE,sparse,8.729335406595025,0.29756753078915854,-0.061783006635762874,0.44618066474362444
BiLevel_MoE,dense,12.89773426439938,0.41765345418013183,-0.11309447027232548,0.45694629491054223
BiLevel_MoE,sparse,8.729335406595025,0.29756753078915854,-0.061783006635762874,0.44618066474362444
RoutingFree_MoE,dense,12.89773426439938,0.41765345418013183,-0.11309447027232548,0.45694629491054223
RoutingFree_MoE,sparse,8.729335406595025,0.29756753078915854,-0.061783006635762874,0.44618066474362444
Nomadic_NoDx,dense,12.89773426439938,0.41765345418013183,-0.11309447027232548,0.45694629491054223
Nomadic_NoDx,sparse,8.729335406595025,0.29756753078915854,-0.061783006635762874,0.44618066474362444
Nomadic_NoEnv,dense,12.89773426439938,0.41765345418013183,-0.11309447027232548,0.45694629491054223
Nomadic_NoEnv,sparse,8.729335406595025,0.29756753078915854,-0.061783006635762874,0.44618066474362444
Nomadic_NoErr,dense,12.89773426439938,0.41765345418013183,-0.11309447027232548,0.45694629491054223
Nomadic_NoErr,sparse,8.729335406595025,0.29756753078915854,-0.061783006635762874,0.44618066474362444
