model,density,mean_nll,mean_dx,mean_nll_gain,corr_dx_nll
Vanilla,dense,13.255139802631579,0.5138606497723806,-0.19546979865771813,0.3206556464757614
Vanilla,sparse,10.66703003875969,0.46332809707337574,-0.2078373015873016,0.4370535907481923
Nomadic_Blind,dense,13.255139802631579,0.5138606497723806,-0.19546979865771813,0.3206556464757614
Nomadic_Blind,sparse,10.66703003875969,0.46332809707337574,-0.2078373015873016,0.4370535907481923
Nomadic_Full,dense,13.255139802631579,0.5138606497723806,-0.19546979865771813,0.3206556464757614
Nomadic_Full,sparse,10.66703003875969,0.46332809707337574,-0.2078373015873016,0.4370535907481923
MoD,dense,13.255139802631579,0.5138606497723806,-0.19546979865771813,0.3206556464757614
MoD,sparse,10.66703003875969,0.46332809707337574,-0.2078373015873016,0.4370535907481923
ECR,dense,13.255139802631579,0.5138606497723806,-0.19546979865771813,0.3206556464757614
ECR,sparse,10.66703003875969,0.46332809707337574,-0.2078373015873016,0.4370535907481923
Sigma_MoE,dense,13.255139802631579,0.5138606497723806,-0.19546979865771813,0.3206556464757614
Sigma_MoE,sparse,10.66703003875969,0.46332809707337574,-0.2078373015873016,0.4370535907481923
BiLevel_MoE,dense,13.255139802631579,0.5138606497723806,-0.19546979865771813,0.3206556464757614
BiLevel_MoE,sparse,10.66703003875969,0.46332809707337574,-0.2078373015873016,0.4370535907481923
RoutingFree_MoE,dense,13.255139802631579,0.5138606497723806,-0.19546979865771813,0.3206556464757614
RoutingFree_MoE,sparse,10.66703003875969,0.46332809707337574,-0.2078373015873016,0.4370535907481923
Nomadic_NoDx,dense,13.255139802631579,0.5138606497723806,-0.19546979865771813,0.3206556464757614
Nomadic_NoDx,sparse,10.66703003875969,0.46332809707337574,-0.2078373015873016,0.4370535907481923
Nomadic_NoEnv,dense,13.255139802631579,0.5138606497723806,-0.19546979865771813,0.3206556464757614
Nomadic_NoEnv,sparse,10.66703003875969,0.46332809707337574,-0.2078373015873016,0.4370535907481923
Nomadic_NoErr,dense,13.255139802631579,0.5138606497723806,-0.19546979865771813,0.3206556464757614
Nomadic_NoErr,sparse,10.66703003875969,0.46332809707337574,-0.2078373015873016,0.4370535907481923
