model,condition,entropy,perplexity,load_cv,settling_time
Vanilla,clean,0.9461151123046875,1.5571062985089563,0.0,0.0
Vanilla,noisy,1.2199217557907105,1.7072533389219726,0.0,0.0
Nomadic_Blind,clean,0.044822113745454764,1.0197515870904292,0.0,40.0
Nomadic_Blind,noisy,0.02862607437379524,1.0149337912926801,0.0,40.0
Nomadic_Full,clean,0.2036884292960167,1.088607581525684,0.883883476372699,1.6956521739130435
Nomadic_Full,noisy,0.09669257625937462,1.0345199214360317,0.696419413754743,1.7727272727272727
MoD,clean,0.1238840289413929,1.045362497959397,0.9171968163234172,2.0526315789473686
MoD,noisy,0.12122172564268112,1.1894820287745032,0.5820223362974891,1.6956521739130435
ECR,clean,0.834954833984375,1.8212559666856625,0.9848857799826333,1.6956521739130435
ECR,noisy,0.9847991943359375,1.3612402816693288,0.570087712478308,1.3448275862068966
Sigma_MoE,clean,0.3287566892802715,1.5411648555858741,1.0723805292618847,1.1470588235294117
Sigma_MoE,noisy,0.14967800984159113,1.0951540832277444,1.211404143746576,1.4444444444444444
BiLevel_MoE,clean,0.2870694801211357,1.145038461937136,0.9171968163234172,3.0
BiLevel_MoE,noisy,0.21945724487304688,1.234203453640869,0.3020761493172086,1.3
RoutingFree_MoE,clean,0.8535552978515625,1.4347798398299598,1.0559356038595582,1.1176470588235294
RoutingFree_MoE,noisy,1.1591552734375,2.306148733979405,1.0271319289005671,1.0555555555555556
Nomadic_NoDx,clean,0.044822113745454764,1.0197515870904292,0.0,40.0
Nomadic_NoDx,noisy,0.04602250046671539,1.0523809160976898,0.0,40.0
Nomadic_NoEnv,clean,0.04487176037523321,1.0185575631164046,0.0,40.0
Nomadic_NoEnv,noisy,0.05349430392896466,1.0539525917414665,0.0,40.0
Nomadic_NoErr,clean,0.23585618995130062,1.253424061065351,1.1313708497287702,1.625
Nomadic_NoErr,noisy,0.21421713028103112,1.1476919131765961,0.35881750233327175,2.0526315789473686
