model,pre_mean_dx,post_mean_dx,delta_dx
Vanilla,0.3799189845736645,0.4404828285177549,0.06056384394409037
Nomadic_Blind,0.3799189845736645,0.4404828285177549,0.06056384394409037
Nomadic_Full,0.3799189845736645,0.4404828285177549,0.06056384394409037
MoD,0.3799189845736645,0.4404828285177549,0.06056384394409037
ECR,0.3799189845736645,0.4404828285177549,0.06056384394409037
Sigma_MoE,0.3799189845736645,0.4404828285177549,0.06056384394409037
BiLevel_MoE,0.3799189845736645,0.4404828285177549,0.06056384394409037
RoutingFree_MoE,0.3799189845736645,0.4404828285177549,0.06056384394409037
Nomadic_NoDx,0.3799189845736645,0.4404828285177549,0.06056384394409037
Nomadic_NoEnv,0.3799189845736645,0.4404828285177549,0.06056384394409037
Nomadic_NoErr,0.3799189845736645,0.4404828285177549,0.06056384394409037
